,TenBaiHat,TacGia,TheLoai,,
843,Đất Nước,Duy Phường,1,,
844,Khơi Nguồn Sức Trẻ,V.A,1,,
845,Chiều Biên Giới,"Lam Hoa, Bùi Thắng",1,,
846,Dòng Sông Hoa Đỏ,Phạm Phương Thảo,1,,
847,50 Năm Một Chặng Đường Để Nhớ,V.A,1,,
848,Bốn Mường Khoe Sắc,"Hoàng Hồng Ngọc, V.A",1,,
849,Sơn La Đón Bác Hồ Về,"Quế Thương, Thế Anh",1,,
850,Lời Thỉnh Cầu Của Mẹ Biển Đông,Anh Thơ,1,,
851,Đất Nước Trọn Niềm Vui Cover,V.A,1,,
852,Ơi Con Sông Vàm Cỏ,Vũ Thắng Lợi,1,,
853,Chào Sông Mã Anh Hùng,V.A,1,,
854,Cá Chép Hóa Rồng Thiêng,"Thắng Liêm, Thanh Danh",1,,
855,Tình Ca Trong Lòng Biển,Quách Thái Duy,1,,
856,Đảng Ở Trong Tôi,Công Thanh,1,,
857,Võ Thị Sáu (Live),Thanh Thúy,1,,
858,Đường Chúng Ta Đi,Quốc Hưng (NSND),1,,
859,Chào Sông Mã Anh Hùng,"Phúc Tiệp, Xuân Hảo, Tiến Hưng",1,,
860,Người Là Niềm Tin Tất Thắng,Quốc Hưng (NSND),1,,
861,Người Chiến Sĩ Giao Thông,Quốc Hưng (NSND),1,,
862,Bài Ca Không Quên,Nguyễn Trần Thái Tuấn,1,,
863,Đất Nước Tình Yêu,Quốc Hưng (NSND),1,,
864,Tổ Quốc Gọi Tên Mình,Phi Hùng,1,,
865,Bài Ca Hồ Chí Minh,Hiền Anh,1,,
866,Thanh Niên Xung Phong Khúc Hành Ca Mới,V.A,1,,
867,Covid Ắt Diệt Vong,Đoàn Nghệ thuật Quân Khu 4,1,,
868,Bác Là Hồ Chí Minh,Thanh Tuấn (NSND),1,,
869,Đêm Rừng,Quang Huy,1,,
870,Liên Khúc Qua Miền Tây Bắc,V.A,1,,
871,Rừng Xanh Vang Tiếng Ta Lư,Trúc Phượng,1,,
872,Ở Hai Đầu Nỗi Nhớ,Thúy Hiền,1,,
873,Gửi Em Ở Cuối Sông Hồng,"Huy Văn, Hằng Ngân",1,,
874,Hoa Hồng Trên Điểm Tựa,Tốp Ca Nam Nữ K46,1,,
875,Gửi Tình Em Theo Sóng,Thu Hiền,1,,
876,Bài Ca Võ Nguyên Giáp,Coor Đưới,1,,
877,Người Về Thăm Quê,Lê Anh,1,,
878,Nắng Ấm Về Trên Tổ Quốc,Khuất Duy Hà Nội,1,,
879,Hành Trình Vì Biển Đảo Quê Hương,CLB Ngôi Sao Trẻ,1,,
880,Biết Ơn Chị Võ Thị Sáu,Phạm Phương Thảo,1,,
881,Thương Anh Nhiều Lắm Đấy,Khánh Hòa,1,,
882,Bài Ca Lữ Đoàn Tàu Ngầm 189,"Trọng Đài, CLB Ngôi Sao Trẻ",1,,
883,Vinh Quang Kim Quang Những Người Con Bất Tử,V.A,1,,
884,Dưới Lá Cờ Vinh Quang,V.A,1,,
885,Ra Khơi,"Hoàng Cường, V.A",1,,
886,Cùng Anh Tiến Quân Trên Đường Dài,Lạc Việt,1,,
887,"LK Xuân Chiến Khu, Bài Ca May Áo, Chiếc Xuồng Quê Hương","Hà Phạm, Ayor",1,,
888,Bác Hồ Một Tình Yêu Bao La,Thu Huyền (NSƯT),1,,
889,Đường Chúng Ta Đi,Trần Ngọc Nguyên,1,,
890,Thi Đua Là Yêu Nước,Thanh Hằng,1,,
891,Hát Bên Tượng Đài Bác,Trọng Tấn,1,,
892,Hành Khúc Người Đô Thị,Lạc Việt,1,,
893,Miền Trung Nhớ Bác,Văn Hồng,1,,
894,Linh Thiêng Việt Nam,V.A,1,,
895,Tự Nguyện,Lam Hoa,1,,
896,Việt Nam Trong Tim Tôi,Trung Nhật,1,,
897,Có Chúng Tôi (Hành Khúc Cảnh Sát Cơ Động),V.A,1,,
898,Cùng Hành Quân Giữa Mùa Xuân,Minh Thúy,1,,
899,Trường Sơn Đông Trường Sơn Tây,Quốc Hưng (NSND),1,,
900,Ca Ngợi Tổ Quốc,Tốp Ca Nam Nữ K46,1,,
901,Giai Điệu Tự Hào,Lạc Việt,1,,
902,Cô Gái Vót Chông (Tuyệt Đỉnh Song Ca Mùa 3),Tùng Anh,1,,
903,Khúc Hát Ra Khơi,Huy Văn,1,,
904,Bài Ca Hồ Chí Minh,Thăng Long Band,1,,
905,Ra Khơi Trong Lòng Biển,Lạc Việt,1,,
906,Lặng Lẽ Đại Dương,Thanh Danh,1,,
907,Nỗi Đau Rào Trăng,Tiến Lâm,1,,
908,Những Đôi Mắt Mang Hình Viên Đạn,Dương Đức,1,,
909,Biết Ơn Chị Võ Thị Sáu,Thanh Trà,1,,
910,Chúng Con Hát Về Người,Lê Phú,1,,
911,Người Lính Tình Nguyện Và Điệu Múa Apsara,Hoàng Tú,1,,
912,Trái Tim Người Chiến Sĩ,"Minh Lập, K'Dung",1,,
913,Chúng Con Canh Giấc Ngủ Cho Người,Bùi Thắng,1,,
914,Trở Về Dòng Sông Tuổi Thơ,Quốc Hưng (NSND),1,,
915,Hồn Tử Sĩ,V.A,1,,
916,Ca Ngợi Tổ Quốc,Quốc Hưng (NSND),1,,
917,Chúng Tôi Là Chiến Sĩ Công An,"Trần Thu Hường, Thanh Tâm",1,,
918,Tự Hào Quốc Hội Việt Nam,"Ngọc Linh, V.A",1,,
919,Viết Cho Em,Hồng Thắm,1,,
920,Gọi Sóng Về Để Say,Đức Quang,1,,
921,"LK Qua Sông, Chuyển Gạo",Lê Thu Hiền,1,,
922,Tình Ca,Lâm Trí Tú,1,,
923,Có Một Mái Đầu Tóc Bạc,"Viết Danh, V.A",1,,
924,Tốt Động Tạc Lên Trang Sử Vàng,Phúc Tiệp,1,,
925,Hồ Chí Minh Đẹp Nhất Tên Người,Quốc Hưng (NSND),1,,
926,Trên Biển Quê Hương,Dương Đức,1,,
927,Vinh Quang Người Chiến Sĩ Tên Lửa Bờ,"Thắng Liêm, Titikids",1,,
928,Tổ Quốc Tôi Yêu,"Thanh Nga, Huỳnh Lợi",1,,
929,Trên Dòng Sông Thạch Hãn,Minh Quang,1,,
930,Đất Nước Lời Ru,Tố Nga,1,,
931,Người Hà Nội,"Tiến Thành, Tuyết Nhung",1,,
932,Hành Trình Của Niềm Tin,Black Eyes,1,,
933,Thanh Niên Quận 8 Viết Tiếp Bản Hùng Ca,CLB Ngôi Sao Trẻ,1,,
934,Tổ Quốc,Quốc Hưng (NSND),1,,
935,Linh Thiêng Việt Nam,Quốc Hưng (NSND),1,,
936,Lửa Cháy Lên Rồi,CLB Ngôi Sao Trẻ,1,,
937,Dấu Chân Phía Trước,Duy Phường,1,,
938,Tổ Quốc Tôi Chưa Đẹp Thế Bao Giờ,"Dương Đức, Kim Ngân",1,,
939,LK Sài Gòn Quật Khởi - Tiến Về Sài Gòn,Lạc Việt,1,,
940,Tổ Quốc Gọi Tên Mình,Hữu Trung,1,,
941,Hát Ở Trường Sa,Ngọc Hiếu,1,,
942,Đơn Giản Tôi Là Lính,V.A,1,,
943,Tổ Quốc Gọi Tên Mình,Dương Đức,1,,
944,Về Kim Liên Nhớ Bác,Tuyết Tuyết,1,,
945,Linh Thiêng Việt Nam,Quang Thịnh,1,,
946,Đường Chúng Ta Đi (Live),Võ Minh Trí,1,,
947,Nơi Đảo Xa,V.A,1,,
948,Hát Về Người Thương Binh Anh Hùng,Huy Quyết,1,,
949,Tiếng Hát Nơi Đảo Xa,Long Nhật,1,,
950,Bác Ơi Con Đã Về Đây,Vân Khánh,1,,
951,Đất Nước Tình Yêu,Sao Mai Trọng Thủy,1,,
952,Ngày Mai Anh Lên Đường,"Minh Lập, Đỗ Hùng, Đức Thọ, V.A",1,,
953,Đồng Phú Yêu Thương,Minh Quang,1,,
954,Cung Đàn Mùa Xuân,Duy Phường,1,,
955,Đồng Đội Ơi,CLB Giai Điệu Trẻ TP Cần Thơ,1,,
956,Lá Xanh,"Nguyễn Tuấn Ngọc, Quách Mai Thy",1,,
957,Tiếng Hát Trên Đường Quê Hương,Phạm Phương Thảo,1,,
958,Sài Gòn Quật Khởi,Lạc Việt,1,,
959,Những Ánh Sao Đêm,V.A,1,,
960,Người Là Niềm Tin Tất Thắng,Đình Phong,1,,
961,Ở Đất Biên Cương,Lê Xuân Hảo,1,,
962,Màu Hoa Đỏ,Nguyễn Anh Sơn,1,,
963,Người Chiến Sĩ Công An Việt Nam,Nguyễn Sỹ Duy,1,,
964,Những Ánh Sao Đêm,Quốc Hưng (NSND),1,,
965,Hồ Chí Minh Giai Điệu Bốn Mùa,V.A,1,,
966,Gởi Anh Người Lính Đảo,Thu Hiền (NSND),1,,
967,Bài Ca Người Giáo Viên Nhân Dân,Viết Huấn,1,,
968,Hành Khúc Lữ Đoàn 189,Nguyễn Văn Hiên,1,,
969,Binh Đoàn 379,"Lệ Thủy (NSND), Tùng Lâm",1,,
970,Rạch Gầm Dậy Sóng,"Lạc Việt, Mắt Ngọc",1,,
971,Gặp Nhau Trên Đỉnh Trường Sơn,Huy Vĩnh,1,,
972,Người Chiến Sĩ Tàu Ngầm,Nguyễn Thái Hiệp,1,,
973,Tự Hào Chiến Sĩ Ngành Y I Tứ Ca Aladin,V.A,1,,
974,Tức Dụp Lá Chắn Anh Hùng,Thanh Nghị,1,,
975,Tháng Năm Nhớ Bác,Tiến Thiệu,1,,
976,Tổ Quốc Yêu Thương,Bùi Thắng,1,,
977,Gửi Nắng Cho Em,Thanh Bình,1,,
978,Hải Phòng Thành Phố Hoa Phượng Đỏ,Thế Hùng,1,,
979,Khúc Tráng Ca Hoàng Su Phì,Anh Thơ,1,,
980,Mua Thu Nhớ Bác,Thái Hoàng Trung,1,,
981,Chiến Sỹ Hậu Cần,V.A,1,,
982,Tiếng Vọng Sầm Sơn,Tùng Dương,1,,
983,Hát Về Cây Lúa Hôm Nay,Quốc Hưng (NSND),1,,
984,Tự Hào Lính Thợ,"Quỳnh Hợp, V.A",1,,
985,Bài Ca Người Lính Tàu Ngầm,Y Jang Tuyn,1,,
986,Tình Bác Sáng Đời Ta,Lạc Việt,1,,
987,Thanh Niên Làm Theo Lời Bác,V.A,1,,
988,Việt Nam Ơi,"Hoàng Nghiệp, Thanh Tâm, Thái Châu",1,,
989,Nọc Nạng Khúc Bi Hùng Ca,Thanh Tâm,1,,
990,Cô Gái Mở Đường,Lạc Việt,1,,
991,Nghĩa Tình Việt - Lào,V.A,1,,
992,Sài Gòn Tình Yêu,Phạm Hồng Biển,1,,
993,Mùa Xuân Nơi Trường Sa,Long Nhật,1,,
994,Vết Chân Tròn Trên Cát,Tiến Dũng,1,,
995,Hát Về Anh,Thái Hoàng Trung,1,,
996,Dầu Tiếng Vui Ngày Chiến Thắng,Đông Triều,1,,
997,Tự Nguyện,Tốp Ca QK7,1,,
998,Hào Khí Lạc Long,V.A,1,,
999,Tấm Áo Chiến Sĩ Mẹ Vá Năm Xưa,Bùi Thắng,1,,
1000,Tượng Đài Chiến Thắng,Khuất Duy Hà Nội,1,,
1001,Hòn Vọng Phu 3,Lạc Việt,1,,
1002,Trống Đồng Dâng Bến Nhà Rồng Nhớ Bác,"Thu Hà, Minh Quang",1,,
1003,LK Tìm Về Lời Ru - Đất Nước Lời Ru,Tân Nhàn,1,,
1004,Hồ Chí Minh Đẹp Nhất Tên Người,Hoàng Tú,1,,
1005,Trường Ca Sông Lô,Hoàng Tú,1,,
1006,Tiếng Hát Từ Thành Phố Mang Tên Người,Hoàng Tú,1,,
1007,Bài Ca Thanh Niên Tình Nguyện,"Nguyễn Thái Hiệp, Nguyễn Phi Hùng",1,,
1008,Ta Tự Hào Đi Lên,Quốc Hưng (NSND),1,,
1009,Hát Về Quê Hương Đại Tướng Võ Nguyên Giáp,V.A,1,,
1010,Miền Trung Nhớ Bác,Hoàng Việt,1,,
1011,Ngồi Nghe Sóng Kể Chuyện,"Nguyễn Ngọc Thiện, Hữu Đức",1,,
1012,Chúng Tôi Là Lính Tàu Ngầm,"Y Jang Tuyn, Max Nguyễn, Nguyễn Đức",1,,
1013,Cuộc Sống Ơi Ta Mến Yêu Người,Lạc Việt,1,,
1014,Người Là Bác Tôn,Lạc Việt,1,,
1015,Dấu Chân Phía Trước,Bùi Thắng,1,,
1016,Điện Biên Mùa Xuân Về,Thái Hoàng Trung,1,,
1017,Đất Nước Trọn Niềm Vui,Thái Hoàng Trung,1,,
1018,Đời Anh Chiến Sĩ,Quách Tuấn Du,1,,
1019,Vầng Trăng Lăng Bác,Tuýnh Nhật Minh,1,,
1020,Bâng Khuâng Trường Sa,Long Nhật,1,,
1021,Lửa Thiêng Dân Tộc,Phan Mạnh Thắng,1,,
1022,Bước Chân Trên Dãy Trường Son,Lạc Việt,1,,
1023,Gửi Má Bình Định,Trung Tín,1,,
1024,Chúng Con Canh Giấc Ngủ Cho Người,Phạm Mạnh Hùng (NSƯT),1,,
1025,Chuyện Tình Của Biển,Song Hỷ,1,,
1026,Người Chiến Sĩ Ấy,Vũ Tiến Lâm (NSƯT),1,,
1027,Chúng Tôi Hát Giữa Trường Sa,Công Lâm,1,,
1028,Điện Biên Mùa Chiến Công,Nam Hải,1,,
1029,Hoa Ban Mùa Này,Thái Hoàng Trung,1,,
1030,Tình Người Lính Tống,V.A,1,,
1031,Màu Áo Công An,Phan Nhã Ca,1,,
1032,Trên Đỉnh Trường Sơn Ta Hát,Đặng Huân Vinh,1,,
1033,Con Đường Của Bác,Cát Tiên,1,,
1034,Ba Đình Nắng,Quốc Hưng (NSND),1,,
1035,Khúc Hát Ru Người Mẹ Lính,Tuyết Lan,1,,
1036,Em Ở Nông Trường Em Ra Biên Giới,CLB Giai Điệu Trẻ TP Cần Thơ,1,,
1037,Hồn Thiên Cách Mạng,V.A,1,,
1038,Bài Ca Trường Sơn,Thu Giang,1,,
1039,Phất Cờ Nam Tiến,Lạc Việt,1,,
1040,Linh Thiêng Việt Nam,Lạc Việt,1,,
1041,Hồn Việt Nam,Lạc Việt,1,,
1042,Như Bác Về Thăm,"Công Quang, V.A",1,,
1043,Nhớ Tiên Hưng,Trung Đức (NSND),1,,
1044,Hào Khí Việt Nam,Trần Minh Tuấn,1,,
1045,Cánh Chim Báo Tin Vui,Hà My,1,,
1046,Bài Ca Chiến Sĩ Công An,Hoàng Minh Thắng,1,,
1047,Ngọc Hòa Ngàn Năm Tỏa Sáng,V.A,1,,
1048,Những Người Hát Bè Trầm,Phạm Chiến,1,,
1049,Gần Lắm Trường Sa,Thùy Dương,1,,
1050,Hà Nội Niềm Tin Và Hy Vọng,Quốc Hưng (NSND),1,,
1051,Hồn Thiêng Đất Việt,CLB Giai Điệu Trẻ TP Cần Thơ,1,,
1052,Hành Khúc Giải Phóng,CLB Giai Điệu Trẻ TP Cần Thơ,1,,
1053,Đồng Đội Ơi,Phạm Chiến,1,,
1054,Bắc Giang Quê Tôi,"Tuấn Anh, Hoàng Yến",1,,
1055,Xuân Trên Thành Phố Bác,Lạc Việt,1,,
1056,Xin Mưa Rào Lên Đỉnh E5,Tuấn Anh (NSƯT),1,,
1057,Mồ Hôi Đá,Huy Hoàng,1,,
1058,Chúng Con Canh Giấc Ngủ Cho Người,Hồ Đức Hùng,1,,
1059,Vì Biển Trời Tổ Quốc Ta Yêu,Tốp Ca QK2,1,,
1060,Đảng Là Cuộc Sống Của Tôi,Thái Hoàng Trung,1,,
1061,Bài Ca Hy Vọng,Sen Việt,1,,
1062,Vết Chân Tròn Trên Cát,Nguyễn Vinh Sơn,1,,
1063,Đêm Tuần Tra Cùng Sóng Gió,Dương Đức,1,,
1064,Ấm Tình Quê Bắc,Lương Nguyệt Anh,1,,
1065,Đêm Trăng Sông Lô,Hoàng Khanh,1,,
1066,Cúc Ơi,V.A,1,,
1067,Giấc Mơ Dưới Gốc Cây Bồ Đề Nghĩa Trang Trường Sơn,Phan Thu,1,,
1068,Có Ai Về Thanh Hóa,Lê Anh Dũng,1,,
1069,Đảng Là Cuộc Sống Của Tôi,Đặng Hiếu,1,,
1070,Miền Xa Thẳm,Khánh Linh,1,,
1071,"Truyền Thuyết Hoàng Sa, Trường Sa",Phan Mạnh Thắng,1,,
1072,Đạ Tẻh Bản Hùng Ca Ngời Sáng,"Nguyễn Thái Hiệp, Sức Sống Trẻ",1,,
1073,Hành Khúc Chiến Sĩ Tên Lửa Bờ,"Thế Hiển, Tốp Ca Nhánh Lan Rừng",1,,
1074,Lữ Đoàn Tên Lửa Bờ,"Nguyễn Văn Luân, Biển Xanh",1,,
1075,Lãnh Tụ Ca,V.A,1,,
1076,Tự Nguyện,Thế Huy,1,,
1077,Vì Sự Nghiệp Trồng Người,"Đức Tấn, Nguyễn Thùy Linh",1,,
1078,Hát Về Quê Hương Đại Tướng,Phạm Anh Tuấn,1,,
1079,Người Con Gái Miền Nam Anh Hùng,Black Eyes,1,,
1080,Truông Bồn Còn Đó Với Ngàn Năm,V.A,1,,
1081,Sông Dakrong Mùa Xuân Về 2015,Vũ Trọng Chinh,1,,
1082,Hướng Về Ánh Mặt Trời,V.A,1,,
1083,Người Hà Nội,Hà My,1,,
1084,Những Ánh Sao Đêm,Thanh Khuê,1,,
1085,Người Hà Nội,"Bùi Thắng, Giáp Thúy, V.A",1,,
1086,Hội Làng Sen,Xuân Huyền,1,,
1087,Tiếng Thì Thầm,Xuân Huyền,1,,
1088,Hành Khúc Hậu Cần QK2,V.A,1,,
1089,Bài Ca Hậu Cần QK2,V.A,1,,
1090,Con Tàu Thanh Niên,Sỹ Hùng BTA,1,,
1091,Gặp Nhau Trên Đỉnh Trường Sơn,V.A,1,,
1092,Nhớ Mùa Thu Tuyên Quang,Huy Quyết,1,,
1093,Nắng Ấm Về Trên Tổ Quốc,V.A,1,,
1094,Bài Ca Người Chiến Sỹ Áo Trắng,V.A,1,,
1095,Mẹ Tôi,Quốc Hưng (NSND),1,,
1096,Hát Cho Dân Tôi Nghe,Quốc Hưng (NSND),1,,
1097,Bình Minh Của Lính Tàu Ngầm,"Lê Chí Hiếu, Thiên Phú",1,,
1098,Điểm Danh Đồng Đội,Công Quang,1,,
1099,Lá Đỏ,Đình Hội,1,,
1100,Hưng Đạo Đại Vương,Viết Danh,1,,
1101,Đất Nước Trọn Niềm Vui,Đình Hội,1,,
1102,Người Lính Quân Hàm Xanh,V.A,1,,
1103,Xin Đón Các Anh Về,Vũ Tiến Lâm (NSƯT),1,,
1104,"Lời Người, Lời Nước Non",Vũ Tiến Lâm (NSƯT),1,,
1105,Từ Quảng Nam Con Về Thăm Quê Bác,Alăng Ngước,1,,
1106,Thành Sen Nhớ Bác,Thái Bảo,1,,
1107,Tình Yêu Bên Suối,V.A,1,,
1108,Lời Bác Giục Ta Đi Tới,V.A,1,,
1109,Chiến Sĩ Công An Làm Theo Lời Bác,Triệu Lộc,1,,
1110,Những Thành Phố Bên Bờ Biển Cả,Trường Linh,1,,
1111,Sức Sống Trường Sa,Long Nhật,1,,
1112,Ngàn Năm Thăng Long Đường Chúng Ta Đi,"Thiên Trung, Lâm Minh Chi",1,,
1113,Phú Thọ Mộ Khúc Ca Xanh,Hoài Nam,1,,
1114,Lính Hát,V.A,1,,
1115,Chân Trời Bất Tử,Huỳnh Lợi,1,,
1116,Bến Cảng Quê Hương Tôi,"Đức Quân, Chí Thành, Thành Chung",1,,
1117,Lá Đỏ,Quang Thịnh,1,,
1118,Hoàng Diệu Quê Hương Tôi,Vũ Thắng Lợi,1,,
1119,Hành Khúc Người Quản Giáo,V.A,1,,
1120,Người Lính Biên Phòng,Lạc Việt,1,,
1121,LK Thành Phố Hồ Chí Minh Niềm Tin Ngời Sáng - Việt Nam Ơi Mùa Xuân Đến Rồi,Lạc Việt,1,,
1122,Đường Chúng Ta Đi,Lạc Việt,1,,
1123,Lào Cai Ơn Nhớ Bác Hồ,V.A,1,,
1124,Cờ Bay Cao Chiếu Sáng Việt Nam,V.A,1,,
1125,Nỗi Đau Xin Hãy Sẻ Chia,V.A,1,,
1126,Câu Chuyện Bác Hồ,Thành Luân,1,,
1127,Cờ Bay Cao Chiếu Sáng,"Đức Thọ, Việt Long",1,,
1128,Hà Nội Một Trái Tim Hồng,Quang Học,1,,
1129,Tổ Quốc Yêu Thương,Thanh Bình,1,,
1130,Cảm Xúc Tháng Mười,Bùi Thắng,1,,
1131,Như Những Đóa San Hô,"Mai Trâm, Lạc Việt",1,,
1132,Tổ Quốc Con Tàu Và Người Thủy Thủ,Ngô Duy Thanh,1,,
1133,Những Chiến Sĩ Làm Chủ Lòng Đại Dương,"Khánh Vinh, Minh Cường, Cao Tiến Đạt",1,,
1134,Hát Về Một Tám Chín,Kông Lương,1,,
1135,Tự Hào Thành Phố Của Tôi,Phạm Hưng,1,,
1136,Người Chiến Sĩ Tàu Ngầm,"Nguyễn Thái Hiệp, Nguyễn Phi Hùng",1,,
1137,Lính Đặc Công Hát,V.A,1,,
1138,Tiếng Gió Hàng Dương,Thái Hòa,1,,
1139,Nhớ Nguyễn Du,Quốc Hưng (NSND),1,,
1140,Cờ Đảng Sáng Mãi Vùng Biên,Trung Cao,1,,
1141,Bình Trị Thiên Khói Lửa,Nguyễn Vinh Sơn,1,,
1142,Tự Hào Thành Phố Của Tôi,V.A,1,,
1143,Niềm Vui Thao Trường,Lạc Việt,1,,
1144,Lá Cờ Tổ Quốc Giữa Biển Đông,Quốc Hưng (NSND),1,,
1145,Tự Hào Nguyễn Văn Huyên,V.A,1,,
1146,Thế Gian Này Chỉ Riêng Bác Mà Thôi,Trần Khánh (NSND),1,,
1147,Bác Hồ Về Quê Tôi Chống Hạn,Vân Anh,1,,
1148,Tiếng Hát Từ Thành Phố Mang Tên Người,Lạc Việt,1,,
1149,Đảo Là Nhà Tổ Quốc Của Chúng Ta,Quang Phúc,1,,
1150,Quốc Ấn Đại Việt,Mạnh Cường,1,,
1151,Yêu Lính Đảo Xa,Viết Đại,1,,
1152,Ru Mẹ,Mạnh Cường,1,,
1153,Miền Xa Thẳm,Hà Chi,1,,
1154,Trung Đoàn 812,V.A,1,,
1155,Đảng Là Cuộc Sống Của Tôi,Thế Huy,1,,
1156,Đồng Đội Của Tôi,Vũ Tiến Lâm (NSƯT),1,,
1157,Dấu Chân Phía Trước,Vũ Tiến Lâm (NSƯT),1,,
1158,Hương Sắc Xứ Lạng,Phương Thảo,1,,
1159,Mỹ Thành Quê Tôi,Trần Hồng Nhung,1,,
1160,Tuổi Trẻ Phước Sơn Hành Khúc,Tốp Ca,1,,
1161,Hát Về Anh Người Con Trung Hiếu,Đinh Xuân Hội,1,,
1162,Hồi Tưởng,Trần Khánh (NSND),1,,
1163,Tây Ninh Rực Lửa Chiến Công,Lạc Việt,1,,
1164,Trong Lòng Đồng Bào,CLB Ngôi Sao Trẻ,1,,
1165,Trên Bến Đò Biên Giới,V.A,1,,
1166,Theo Chân Người Thợ Thành Đồng,Tốp Ca,1,,
1167,Nỗi Nhớ Tây Ninh,Bích Hảo,1,,
1168,Thưa Mẹ! Trái Tim,Thanh Hải,1,,
1169,Những Phòng Tuyến Áo Xanh,Ngọc Khoa,1,,
1170,Biên Cương Trong Trái Tim Người Lính,V.A,1,,
1171,Đảo Đá Trường Sa,Công Quang,1,,
1172,Mộ Gió Hùng Binh,Thanh Pháp,1,,
1173,Mỗi Người Mỗi Nhà Một Pháo Đài,V.A,1,,
1174,Ngày Trở Về (Vũ Khúc Ánh Trăng OST),Nguyễn Minh Quân,1,,
1175,Chí Sĩ Trần Cao Vân,V.A,1,,
1176,Tổ Quốc Nơi Trường Sa,Võ Văn Toàn,1,,
1177,Đảng Đã Cho Ta Sáng Mắt Sáng Lòng,Phi Hùng,1,,
1178,Tổ Quốc Ta Cờ Bay,Thăng Long Band,1,,
1179,Xin Hãy Đừng Quên,Hoàng Thiện,1,,
1180,Tìm Anh,Hồ Thanh Danh (NSƯT),1,,
1181,Bài Ca Thống Nhất,"Đặng Hồng Nhung, Tiến Hưng",1,,
1182,Tự Hào Biểu Tượng Chiến Thắng,Cảnh Tình,1,,
1183,Các Anh Nhận Được Chưa,Cảnh Tình,1,,
1184,Tự Nguyện,Thăng Long Band,1,,
1185,Hương Sứ Đất Hòn,Black Eye,1,,
1186,Bác Hồ Sống Mãi Với Tây Nguyên,Thăng Long Band,1,,
1187,Việt Bắc Đón Chào Ngày Mới,V.A,1,,
1188,Lá Cờ Đảng,Khắc Nội,1,,
1189,Rạng Ngời Tổ Quốc Việt Nam,Hải Đăng,1,,
1190,Lòng Dân Tây Nguyên Với Bác Hồ,V.A,1,,
1191,Tiếng Nói Của Nhân Dân,V.A,1,,
1192,Phút Lặng Thinh,Bùi Cẩm Huyền,1,,
1193,Dáng Đứng Tự Hào,V.A,1,,
1194,Đèo Cả - Người Mở Đường Vinh Quang,V.A,1,,
1195,Con Đường Của Bác,Hiền Anh,1,,
1196,Vọng Khúc Côn Lôn,Việt Hoàng,1,,
1197,Em Ở Nông Trường Em Ra Biên Giới,"Hà Chi, Ngọc Hồ",1,,
1198,Khúc Nhớ Đồng Đội,Xuân Huyền,1,,
1199,Hành Khúc Thanh Niên,Y Jang Tuyn,1,,
1200,Tuổi Trẻ Của Bác Hồ,CLB Giai Điệu Trẻ TP Cần Thơ,1,,
1201,Phú Riềng Vang Mãi Bản Hùng Ca,"Ngọc Sáng, Lê Huy",1,,
1202,Phú Riềng Sức Trẻ Ước Mơ Và Niềm Tin,CLB Ngôi Sao Trẻ,1,,
1203,Thương Quá Vị Xuyên,V.A,1,,
1204,Lửa Thiêng Phú Riềng,"Nguyễn Văn Luân, Sức Sống Trẻ",1,,
1205,Rạng Ngời Tổ Quốc Việt Nam,Huỳnh Lợi,1,,
1206,Mẹ Và Chiến Thắng,Thu Diệu,1,,
1207,Hành Khúc Thanh Niên Phú Riềng,"Bảo Huy, Black Eyes, Titikids",1,,
1208,Nụ Cười Trên Đất Phú Riềng,"Phạm Đăng Khương, Black Eyes",1,,
1209,Những Người Trẻ Nơi Đây,Nhóm K3,1,,
1210,Thăm Trường Sa,Vũ Tiến Lâm (NSƯT),1,,
1211,Lá Cờ Đảng,Việt Hoàng,1,,
1212,Trung Đoàn Ba Vì Anh Hùng,V.A,1,,
1213,Bài Ca Công An Phú Ninh,Tốp Ca QK2,1,,
1214,Tàu Anh Qua Núi (Live In Giao Lộ Thời Gian 2022),"Hòa Minzy, Thanh Hoa (NSND)",1,,
1215,Khúc Tráng Ca Biển,Đình Phong,1,,
1216,Bình Yên Hơi Thở Biển Đông,Hoàng Tùng,1,,
1217,Về Đi Các Anh Ơi,Thảo Ngân,1,,
1218,Vinh Quang Việt Nam,V.A,1,,
1219,Đường về Tây Côn Lĩnh,Vũ Thắng Lợi,1,,
1220,Cúc Ơi,Đắc Lợi,1,,
1221,Trở Lại Trường Sa,Minh Đức,1,,
1222,Lửa Thiêng Dân Tộc,Minh Tuấn,1,,
1223,Mùng Mười Tháng Ba,Lạc Việt,1,,
1224,Lời Mẹ,V.A,1,,
1225,Long Bình Quê Tôi,"Chính Thuận, Nguyễn Thị Kiều Oanh",1,,
1226,Cho Cuộc Sống Bình Yên,V.A,1,,
1227,Mấy Khi,Ngọt,2,,
1228,Để Được Thả Trôi,Giấy Gấp,2,,
1229,Cuối Ngày (Có Nhau Ver.),The Flob,2,,
1230,Nhật Kí,One Game,2,,
1231,Cuối Ngày,The Flob,2,,
1232,Chơi Đi! Chơi! Đi Chơi!,Jaigon Orchestra,2,,
1233,Cà Lem Kem Chuối,Đá Số Tới,2,,
1234,Muốn Bên Anh Bây Giờ,Tuyên,2,,
1235,Bạc Đầu,Jaigon Orchestra,2,,
1236,December,The Cassette,2,,
1237,Cơn Mưa Tháng 5 (Live),Bức Tường,2,,
